#{"t_start": 1756147829.2821352, "env_id": "None"}
r,l,t
-98.044416,16,1881.450541
-122.169164,15,1883.371986
-103.523421,17,1886.054454
-94.555787,15,1888.077743
-113.900137,16,1890.063334
-99.688089,18,1893.194245
-81.463445,19,1895.716667
-92.581404,17,1898.017162
-88.232336,20,1900.484346
-100.990492,15,1902.433528
-103.628413,13,1904.207365
-109.381645,18,1906.456571
-105.744415,14,1908.264813
-89.530989,18,1910.469239
-95.041434,17,1912.879864
-103.120394,16,1915.044099
-83.993752,20,1917.436712
-107.816904,20,1920.143237
-98.442596,16,1922.305908
-89.241858,21,1924.811925
-99.064315,14,1926.581015
-91.529968,18,1929.469445
-100.640716,16,1932.533031
-86.690136,19,1934.982689
-95.104165,17,1937.188815
-100.015287,13,1940.127202
-116.653804,15,1942.320459
-74.671117,24,1945.443393
-93.205898,19,1948.150557
-94.053482,17,1950.680424
-108.637818,20,1953.1176
-101.33076,13,1956.777019
-111.508792,13,1958.68343
-86.810536,18,1961.239769
-103.757287,13,1964.880591
-119.109401,17,1967.204905
-90.752844,17,1969.836522
-99.429298,17,1972.615946
-84.698122,20,1975.442894
-109.163831,14,1977.228462
-113.046232,14,1980.237416
-99.586182,17,1982.359298
-112.260803,18,1984.568104
-86.824913,18,1986.915218
-109.330393,14,1989.555948
-87.132791,20,1991.973871
-84.875427,21,1994.402063
-100.184733,16,1997.176113
-100.600085,13,1998.894119
-104.216945,15,2001.245473
-78.76578,21,2003.851017
-96.303998,15,2005.9918
-86.182994,18,2008.325641
-109.22226,14,2010.151883
-88.009005,17,2012.596277
-85.86325,20,2015.851887
-107.253403,15,2019.042807
-87.30569,19,2022.037599
-91.418288,22,2024.747847
-82.877459,21,2027.868408
-98.685208,17,2029.958744
-100.348181,16,2032.485516
-104.505482,13,2034.43306
-97.30316,16,2036.986902
-95.204573,18,2039.206075
-94.13265,16,2041.973049
-102.457222,15,2043.837904
-108.360375,11,2045.346579
-107.36547,12,2046.987939
-102.911836,15,2049.564758
-103.710516,15,2051.471844
-101.504761,19,2054.544213
-103.951212,17,2056.541097
-77.710645,22,2059.046865
-119.848631,19,2061.286178
-99.391714,19,2063.590281
-97.64266,17,2066.482415
-106.868118,14,2068.600679
-97.822634,16,2070.769017
-100.700043,15,2073.99346
-92.402866,16,2075.931099
-97.456305,17,2078.085842
-92.201011,20,2080.935445
-102.764384,14,2083.388033
-90.444579,17,2085.439744
-107.342202,16,2088.494922
-83.830447,19,2090.689149
-83.093523,23,2093.716293
-83.913218,15,2095.709185
-104.300564,20,2097.930217
-92.211979,19,2100.175441
-90.909652,18,2102.356683
-109.179133,19,2106.259669
-102.553641,14,2108.825544
-98.308108,16,2111.194659
-97.945152,16,2113.24785
-100.949425,17,2115.839891
-98.352222,10,2117.199861
-91.186428,21,2119.847541
-111.566679,11,2124.05265
-92.361117,18,2126.447932
-107.444525,14,2128.199703
-115.3847,12,2130.375806
-104.38701,14,2132.151502
-82.70565,21,2135.314672
-87.239492,17,2137.491587
-104.210556,14,2139.190253
-88.962624,19,2141.415668
-108.673784,13,2142.946423
-90.636946,18,2145.046685
-106.664671,18,2147.188399
-109.654262,17,2149.552927
-92.92034,16,2152.059311
-104.3089,14,2155.407165
-81.814548,20,2157.648295
-99.550662,13,2160.115289
-85.042631,20,2162.306143
-83.403979,20,2164.633539
-88.329917,19,2166.793296
-76.125072,25,2169.608341
-86.696746,18,2171.784258
-98.331055,16,2173.650062
-97.531182,18,2175.765451
-94.750566,19,2178.160563
-93.625228,17,2180.200626
-59.658958,22,2182.877825
-87.317759,11,2184.51388
-83.532248,20,2186.97823
-90.52309,22,2189.743845
-89.915177,17,2192.321411
-99.167933,18,2194.783742
-88.660222,20,2197.209779
-93.076122,20,2199.708904
-96.688532,18,2201.748416
-112.211438,11,2204.934897
-93.594697,18,2207.118429
-100.782204,14,2209.490274
-87.207382,18,2211.654517
-110.617743,16,2214.152643
-98.13297,18,2216.675449
-85.805447,16,2218.663356
-96.782388,19,2220.929259
-105.081669,14,2223.191182
-80.946325,20,2226.156352
-92.077456,19,2228.337375
-89.433795,17,2230.565007
-103.269711,16,2232.603057
-98.79414,18,2234.698887
-100.609413,15,2236.621738
-93.720173,20,2240.084179
-100.091998,17,2242.374702
-88.910767,18,2245.033333
-100.961141,15,2247.485783
-91.165326,20,2249.826243
-96.684334,15,2251.708612
-90.169997,17,2254.723311
-88.067718,20,2257.169639
-97.221156,19,2259.732753
-99.04072,13,2261.45457
-95.806475,20,2263.87603
-86.188116,18,2266.444063
-93.268431,17,2268.450619
-98.369175,20,2272.003396
-100.242746,17,2274.488847
-82.942652,20,2277.157799
-101.436069,15,2279.05584
-95.844856,16,2281.486849
-75.861166,23,2284.381167
-101.895034,14,2286.603401
-93.4532,16,2288.511925
-87.476136,18,2290.59064
-86.863092,18,2292.733267
-103.966776,13,2294.394867
-104.505704,16,2296.254086
-87.572077,22,2298.825793
-98.10941,18,2301.047072
-79.121573,21,2303.66695
-92.318729,20,2306.316464
-106.56501,13,2308.009711
-97.054734,13,2309.693956
-120.559424,11,2311.040971
-85.549582,18,2313.315116
-79.019519,19,2316.128778
-86.825434,17,2318.951087
-96.883785,18,2321.214111
-91.918325,18,2323.639838
-110.776415,14,2325.756509
-97.06574,16,2329.078801
-107.477123,13,2331.947227
-97.18828,15,2334.844925
-106.994179,15,2339.66733
-102.168751,14,2342.181403
-105.181303,15,2344.362417
-95.313211,19,2347.32984
-87.44719,19,2350.422698
-97.109465,15,2352.755777
-94.693057,17,2355.902467
-98.090161,16,2359.435958
-91.107472,18,2362.652202
-84.132321,16,2365.654887
-112.510762,13,2367.531351
-97.792365,19,2370.573279
-109.29725,15,2373.393589
-94.671022,16,2375.548637
-105.032522,14,2377.379444
-94.131372,20,2380.720846
-106.032943,15,2383.22805
-99.512415,15,2386.450256
-92.886988,19,2389.510287
-99.043287,13,2393.543565
-80.029304,21,2397.053415
-103.420916,16,2399.281643
-90.519289,19,2401.623243
-94.909064,18,2403.943574
-87.057669,25,2406.974383
-91.394408,18,2409.173346
-111.179099,19,2411.364355
-98.890844,21,2414.694875
-77.104105,16,2417.15464
-74.22357,21,2420.432477
-85.26619,15,2423.003828
-102.982775,14,2424.998767
-98.370042,15,2427.790868
-99.722419,16,2429.842749
-91.642281,20,2433.464217
-83.14062,18,2436.40526
-105.289013,16,2439.579618
-105.521358,15,2443.000903
-103.500519,14,2447.475233
-97.263587,14,2450.024313
-96.421735,17,2452.525741
-42.970091,22,2455.621367
-117.30859,11,2457.2247
-95.338091,17,2460.043262
-81.998476,21,2463.159201
-78.546745,18,2465.626104
-99.136798,21,2468.398036
-101.13879,16,2471.065846
-90.38999,17,2473.560138
-95.129871,19,2476.603431
-110.317034,11,2480.134062
-85.785419,17,2483.3951
-83.199348,20,2486.549575
-91.422069,19,2489.449629
-106.213412,13,2491.63305
-95.362065,20,2494.310203
-90.293766,16,2496.721802
-90.464708,15,2499.14172
-98.646806,16,2501.304234
-100.235818,14,2504.323449
-98.043354,19,2507.315002
-108.998692,15,2516.345317
-86.286489,24,2520.825703
-97.464689,17,2523.598151
-90.681473,16,2525.955723
-97.562819,18,2529.075449
-87.032851,19,2531.63116
-87.242278,18,2534.004546
-95.716795,16,2536.159587
-91.9319,16,2538.778479
-104.534398,15,2541.123146
-97.718995,17,2543.82404
-102.261829,15,2545.901404
-115.65302,11,2547.483346
-92.040847,10,2549.061071
-103.357397,17,2552.096229
-102.176021,9,2553.812853
-92.109993,18,2556.409736
-81.766934,15,2558.636635
-100.735007,20,2562.024498
-108.324986,16,2564.210544
-82.878312,21,2568.617547
-110.328598,20,2572.06388
-107.567723,15,2575.640077
-106.564785,14,2580.403725
-95.155636,16,2584.406464
-91.480146,20,2587.467528
-93.9596,20,2589.932003
-86.322179,16,2592.245562
-85.331388,22,2595.821193
-115.469059,16,2597.857176
-102.03725,21,2600.61907
-104.986144,16,2604.541996
-87.892538,16,2606.787404
-123.473528,9,2607.986491
-90.748998,19,2611.134737
-93.692768,17,2613.616151
-103.090533,14,2615.640463
-90.642261,20,2618.699615
