#{"t_start": 1776774591.3902214, "env_id": "None"}
r,l,t
-337.693387,22,6189.09726
-234.065872,21,6196.90995
-314.580629,14,6202.929204
-269.265906,12,6206.594099
-311.255611,19,6213.654054
-252.528345,20,6220.454547
-300.181048,10,6224.089124
-251.278292,16,6232.251057
-287.542628,16,6237.851269
-327.0257,17,6245.364095
-296.625212,12,6249.343668
-254.29613,15,6255.373783
-262.618126,11,6259.338423
-228.872965,20,6266.945247
-267.843965,20,6274.654494
-260.533001,20,6282.950394
-326.171738,15,6289.784583
-268.636586,17,6295.803946
-344.165131,14,6301.439753
-261.40105,13,6306.230462
-261.105998,19,6313.12219
-360.433195,16,6319.487468
-260.710173,17,6327.206438
-245.93877,19,6335.633721
-300.300088,19,6342.215104
-242.526553,16,6347.824991
-258.116428,17,6353.86552
-359.228484,22,6363.978346
-301.526631,16,6369.448567
-295.909927,17,6376.125667
-269.909732,13,6382.415238
-341.262086,13,6453.134652
-274.680719,19,6462.730996
-244.857503,20,6469.978672
-244.38823,17,6476.545439
-265.25529,20,6483.574529
-203.813552,18,6490.886089
-324.498794,20,6498.649877
-272.620329,20,6505.517099
-327.379348,19,6512.178196
-167.697686,17,6519.664109
-238.947158,23,6527.278075
-240.378746,21,6534.08191
-226.332708,16,6539.94365
-358.457112,19,6547.85678
-236.344578,23,6557.408351
